date,market,stock_no,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,foreign_total_buy,foreign_total_sell,foreign_total_net,investment_trust_buy,investment_trust_sell,investment_trust_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,dealer_total_buy,dealer_total_sell,dealer_total_net,overall_net
2025-11-10,TPEX,00848B,中信新興亞洲債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,300000,0,300000,300000,0,0
2025-11-10,TPEX,00849B,中信EM主權債0-5,42000,46000,-4000,0,0,0,42000,46000,-4000,0,0,0,0,0,0,449720,445675,4045,449720,445675,4045,45
2025-11-10,TPEX,00853B,統一美債10年Aa-A,0,8000,-8000,0,0,0,0,8000,-8000,0,0,0,0,0,0,1505135,1502234,2901,1505135,1502234,2901,-5099
2025-11-10,TPEX,00856B,永豐1-3年美公債,2000,0,2000,0,0,0,2000,0,2000,0,0,0,0,0,0,9260,5000,4260,9260,5000,4260,6260
2025-11-10,TPEX,00857B,永豐20年美公債,896000,202000,694000,0,0,0,896000,202000,694000,0,0,0,0,0,0,1878000,1072076,805924,1878000,1072076,805924,1499924
2025-11-10,TPEX,00858,永豐美國500大,291000,11000,280000,0,0,0,291000,11000,280000,0,0,0,0,0,0,1568797,299405,1269392,1568797,299405,1269392,1549392
2025-11-10,TPEX,00859B,群益0-1年美債,0,10000,-10000,0,0,0,0,10000,-10000,0,0,0,0,0,0,2527900,2515525,12375,2527900,2515525,12375,2375
2025-11-10,TPEX,00860B,群益1-5Y投資級債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101705,101867,-162,101705,101867,-162,-162
2025-11-10,TPEX,00862B,中信投資級公司債,4000,1000,3000,0,0,0,4000,1000,3000,0,0,0,0,0,0,301000,311789,-10789,301000,311789,-10789,-7789
2025-11-10,TPEX,00863B,中信全球電信債,72000,1000,71000,0,0,0,72000,1000,71000,0,0,0,0,0,0,388000,356000,32000,388000,356000,32000,103000
